"CountryCode","SeriesCode","DESCRIPTION",
"ARG","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARG","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"ARG","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARG","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","NY.GNP.MKTP.PP.KD","Estimates are based on regression.",
"ARG","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"ARG","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"ARG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARG","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"ARG","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","NE.CON.PRVT.PP.KD","Estimates are based on regression.",
"ARG","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARG","NE.CON.PRVT.PP.CD","Estimates are based on regression.",
"ARG","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","NY.GNP.PCAP.PP.KD","Estimates are based on regression.",
"ARG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARG","IT.NET.BBND.P2","Comisión Nacional de Comunicaciones.",
"ARG","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years.",
"ARG","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years.",
"ARG","IT.MLT.MAIN.P2","Comisión Nacional de Comunicaciones.",
"ARG","IT.NET.BBND","Comisión Nacional de Comunicaciones.",
"ARG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ARG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARG","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"ARG","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders. Change of methodology from 2016. The data from 2010 to 2015 are the product of a statistical splice.  Data prior to 2010 are not comparable with those of the 2010-2019 series.",
"ARG","ST.INT.DPRT","Includes overnight visitors (tourists) and same-day visitors (excursionists). Change of methodology from 2016. The data from 2010 to 2015 are the product of a statistical splice.  Data prior to 2010 are not comparable with those of the 2010-2019 series.",
"ARG","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARG","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"ARG","IS.RRS.GOOD.MT.K6","Source: OECD",
"ARG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARG","SP.POP.GROW","Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects",
"ARG","IT.CEL.SETS","Comisión Nacional de Comunicaciones.",
"ARG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARG","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2021 are based on reports provided by the country. Long-term private nonguaranteed debt data before 2008 are World Bank staff estimates. Short-term debt data for 2021 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).",
